id,podjetje,ime_igre
21856,Bigben Interactive,Tetraminos
21857,Narko Games,Tetripank
21858,Ubisoft - San Francisco,Tetris Ultimate
21859,Swing Swing Submarine,Tetrobot and Co.
21860,Rosyaev,Tetropunk
21861,Brewsterland Studios,Tetsoidea Eternal
21862,Vice Age,Tevris
21863,Elknight,Text Wormhole
21864,8Floor,Thanksgiving Day Mosaic
21865,Mwester Studios,Tharn
21866,Choice Provisions,Tharsis
21867,noiarc,That Dam Level redux
21868,Numinous Games,"That Dragon, Cancer"
21869,Crystal Game Works,That Which Binds Us
21870,TotallyNotReptillian,That's Mahjong!
21871,Bobbates LLC.,Thaumistry: In Charm's Way
21872,"Nostatic Software, LLC","The ""Quiet, Please!"" Collection"
21873,Deqaf Studio,The 'I Love Money' Show
21874,Ricardo Pratas,The 111th Soul
21875,"NIS America, Inc.",The 25th Ward: The Silver Case / シルバー事件２５区
21876,Michael Acosta,The 37th Week
21877,The Secret Experiment,The 39 Steps
21878,Elibo Games,The 50 States Quiz
21879,68k Studios,The 7th Circle
21880,TAINTED GAMES,The 8th Day
21881,Spacepup Entertainment,The 9th Gate
21882,Erbe Software,The Abbey - Director's cut
21883,"Manuel Pazos, Daniel Celemín",The Abbey of Crime Extensum
21884,"Qiwi Games, LLC",The Ables: Freepoint High
21885,Liam Twose,The Adliberum Engine (ADLENGINE)
21886,Willpowaproject,The Admin
21887,Armor Games Studios,The Adventure Pals
21888,XNZONE,The Adventure of Magical Girl
21889,ZemunBRE,The Adventurer - Episode 1: Beginning of the End
21890,疯王子中二集团总部,The Adventurer and His Backpack
21891,Sunshine Games,The Adventures of Alvis
21892,Sometimes You,The Adventures of Capitano Navarro
21893,Broke Astronaut,The Adventures of Clive McMulligan on Planet Zeta Four
21894,GrimTalin,The Adventures of Elena Temple
21895,Screen 7,The Adventures of Fatman
21896,致意,The Adventures of Fei Duanmu 端木斐异闻录
21897,RPGVideo,The Adventures of Fluffy
21898,OctoberRaven,The Adventures of Kusoge
21899,NA,The Adventures of Mr. Bobley
21900,theBroodProductions,The Adventures of Mr. Fluffykins
21901,Pinhead Games,The Adventures of Nick & Willikins
21902,Givit Game Studios (Pty) Ltd,The Adventures of Sam Carlisle: The Hunt for the Lost Treasure
21903,Tiger Studios,The Adventures of Tree
21904,NLB project,The Adventurous Four
21905,Hosted Games,The Aether: Life as a God
21906,Frontwing USA,The Afterglow of Grisaia
21907,Iron Tower Studio,The Age of Decadence
21908,Big Fish Games,The Agency of Anomalies: Cinderstone Orphanage Collector's Edition
21909,Big Fish Games,The Agency of Anomalies: Mind Invasion Collector's Edition
21910,Big Fish Games,The Agency of Anomalies: Mystic Hospital Collector's Edition
21911,Big Fish Games,The Agency of Anomalies: The Last Performance Collector's Edition
21912,Sapphire Dragon Productions,The Agency: Chapter 1
21913,Sapphire Dragon Productions,The Agency: Chapter 2
21914,KishMish Games,The Agony
21915,JDRumble,The Albatross
21916,Cherry Co. Studios,The Albino Hunter
21917,Xiotex Studios Ltd,The Alpha Device
21918,Z3roram Studios,The Amazing Adventures of Ash - Afterparty
21919,JimJams Games,The Amazing Adventures of Lady Fanny Featherstone
21920,Kumkwat Entertainment,The Amazing Bernard
21921,Dogenzaka Lab,The Amazing Shinsengumi: Heroes in Love
21922,Gbrossoft,The Amazonian Dread
21923,Joshua Missile,The Amber Throne
21924,Samurai Punk,The American Dream
21925,Outhouse Games,The Ancient Remains
21926,Annexe Interactive,The Anomaly
21927,Shattered Mirror,The Apartment
21928,Apogee Software,The Apogee Throwback Pack
21929,Screen 7,The Apotheosis Project
21930,YCJY Games,The Aquatic Adventure of the Last Human
21931,The Mundi Project Game Studios,The Archetype
21932,Spooky Star,The Architect
21933,The Archotek Project Team,The Archotek Project
21934,"Big Red Button Entertainment, Inc",The Arcslinger
21935,DysTop,The Armament Project
21936,VT Publishing,The Art Of Knuckle Sandwich
21937,Google,The Art Theft by Jay Doherty
21938,raptor lab,The Art of Fight | 4vs4 Fast-Paced FPS
21939,"Enigma Games LTD, KISS ltd",The Artifact
21940,Slap Happy Larry,The Artifacts
21941,Motoda Media,The Artist
21942,nDreams,The Assembly
21943,AGO Games,The Asskickers-Steam Edition
21944,Gloves of Bobby,The Asteroid Belt's Trial
21945,Turbo Tape Games,The Astonishing Game
21946,Ardi Studio,The Astral Hero
21947,Siberian Digital,The Atomy
21948,DreamPunks,The Automatician
21949,Lemonsucker Games,The Average Everyday Adventures of Samantha Browne
21950,Dark Polygon Ltda.,The Awakening
21951,Crackshell,The Away Team: Lost Exodus
21952,Square Enix,The Awesome Adventures of Captain Spirit
21953,Hothead Games,The Baconing
21954,Yars,The Bad Gravedigger
21955,Holotna,The Balcony
21956,Tripwire Interactive,The Ball
21957,XiaogengXu,The Ball Encounter
21958,Pandamonium Games Design,The Balloonist: Beyond the Clouds.
21959,Versus Evil,The Banner Saga
21960,Versus Evil,The Banner Saga 2
21961,Versus Evil,The Banner Saga 3
21962,Versus Evil,The Banner Saga: Factions
21963,NLB project,The Barbarian and the Subterranean Caves
21964,inXile Entertainment,The Bard's Tale
21965,inXile Entertainment,The Bard's Tale
21966,inXile Entertainment,The Bard's Tale IV: Barrows Deep
21967,inXile Entertainment,The Bard's Tale Trilogy
21968,GMGame,The Base
21969,Edmund McMillen,The Basement Collection
21970,Joshua Hughes,The Basilisk
21971,None,The Battle Of Ages
21972,West Dos (HK) LTD.,The Battle Of Mahjong
21973,"Large Visible Machine, Your Move Games",The Battle for Sector 219
21974,"Bit Planet Games, LLC",The Battle of Sol
21975,Grant Hansen,The Beanstalk
21976,"Oh, a Rock! Studios",The Beard in the Mirror
21977,Damsel Stone,The Bears And The Bees
21978,Brandon Serowski,The Bedtime Story
21979,Bad Seed,The Beggar's Ride
21980,Everything Unlimited Ltd.,The Beginner's Guide
21981,Sekai Project,The Bell Chimes for Gold
21982,BOT Jungle Productions,The Bellows
21983,Dreamz Studio,The Best Of MagiCats
21984,Anatoliy Loginovskikh,The Big Elk
21985,Konstructors Entertainment,The Big Journey
21986,Buka Entertainment,The Big Secret of a Small Town
21987,Edmund McMillen,The Binding of Isaac
21988,"Nicalis, Inc.",The Binding of Isaac: Rebirth
21989,James C. Gray,The Bits That Saved The Universe
21990,NedoStudio,The Bizarre Creations of Keith the Magnificent
21991,Green Man Gaming Publishing,The Black Death
21992,notreallythin,The Black Knight
21993,Alice & Smith,The Black Watchmen
21994,Question,The Blackout Club
21995,Wadjet Eye Games,The Blackwell Legacy
21996,Basic Sloth,The Blame
21997,SkyPyre Studios,The Blobs Fight
21998,The Revills Games,The Bloobles and the Quest for Chocolate
21999,Only Human Studios,The Blood Eclipse
22000,ejew.in,The Blue Box
22001,Might and Delight,The Blue Flamingo
22002,Nir Blu Prodcutions,The Blue Zula VR Concert Series
22003,Microids,The Bluecoats: North vs South
22004,White Clover Inc.,The BoX
22005,TheShortAndTheTall,The Body Changer
22006,The Body VR LLC,The Body VR: Journey Inside a Cell
22007,Axis Studios,The Bond
22008,Xigma Games,The Bonfire: Forsaken Lands
22009,AGM PLAYISM,The Boogie Man
22010,1C Entertainment,The Book of Desires
22011,Aldorlea Games,The Book of Legends
22012,Synodic Arc,The Book of Regrets
22013,THQ Nordic,The Book of Unwritten Tales
22014,THQ Nordic,The Book of Unwritten Tales 2
22015,THQ Nordic,The Book of Unwritten Tales: The Critter Chronicles
22016,Jamo Games,The Botanist
22017,Red Nettle Studio,The Bottom of the Well
22018,The Ludicrous Ones,The Bounty: Deluxe Edition
22019,Enigma Pendulum,The Boy Who Typed Wolf
22020,Vyacheslav Shilikhin,The Brave Mouse
22021,Dagestan Technology,The Braves & Bows
22022,GBROSSOFT,The Breeding: The Fog
22023,The Quantum Astrophysicists Guild,The Bridge
22024,0Cube,The Brink 尘与土的边缘
22025,XAREA,The Broken Seal
22026,Phosphor Games,The Brookhaven Experiment
22027,Awfully Nice Studios,The Bug Butcher
22028,Wales Interactive,The Bunker
22029,2K,The Bureau: XCOM Declassified
22030,Quantum Phoenix,The Butterfly Sign
22031,Quantum Phoenix Studio,The Butterfly Sign: Human Error
22032,Blue Entropy Studios,The Cabin: VR Escape the Room
22033,"Monolith Graphics, The Hideout",The Cabinets of Doctor Arcana
22034,The Cable Center,The Cable Center - Virtual Archive
22035,0Cube,The Cage
22036,Grey Reality Studios,The Call
22037,Wastelands Interactive,The Campaign Series: Fall Weiss
22038,Prism Game Studios Ltd.,The Captives: Plot of the Demiurge
22039,WorldsDev,The Capture Worlds
22040,bluebox interactive,The Caretaker - Dungeon Nightshift
22041,Victorian Clambake,The Caribbean Sail
22042,ImperiumGame,The Castle Disaster
22043,ImperiumGame,The Castle Disaster 2
22044,Jason Rohrer,The Castle Doctrine
22045,Liu Lidan,The Cat Games
22046,Screen 7,The Cat Lady
22047,Cranktrain,The Cat Machine
22048,Peter Brinson and Kurosh ValaNejad,The Cat and the Coup
22049,"Kurosh ValaNejad, Peter Brinson",The Cat and the Coup (4K Remaster)
22050,Cats Who Play,The Cat! Porfirio's Adventure
22051,Star Consult S.r.l.,The Cathedral: Allison's Diary
22052,Double Fine Productions,The Cave
22053,CGPills,The Cave VR
22054,Space Paw Studios,The Cavern
22055,CasGames,The Cells
22056,Ilya Gorodetskov,The Cerberus Project: Horde Arena FPS
22057,Sometimes You,The Challenge
22058,Igor Krutov's games,The Chambers
22059,The Bitmap Brothers,The Chaos Engine
22060,Virtex Edge Design,The Chaotic Workshop
22061,Dogenzaka Lab,The Charming Empire
22062,Owl Cave,The Charnel House Trilogy
22063,tensixfour Digital,The Chemist
22064,Microids,The Chosen RPG
22065,GoeX GameS,The Chosen Warriors
22066,Anamik Majumdar,The Christmas Gifts
22067,Dragon Wing Studio,The Chronicles of Dragon Wing - Reborn
22068,HH-Games,The Chronicles of King Arthur - Episode 1: Excalibur
22069,e-FunSoft Games,The Chronicles of Noah's Ark
22070,No Gravity Games,The Chronicles of Nyanya
22071,Crankage Games,The Chronicles of Quiver Dick
22072,Supreme Clans Entertainment,The Clans - Saga of the Twins
22073,Bungalo Bomb,The Clean Up Clyde Collection
22074,Grindstone Interactive,The Cleansing - Versus
22075,Nib Games,The Climber
22076,Total Eclipse,The Clockwork Man
22077,Total Eclipse P.C.,The Clockwork Man: The Hidden World
22078,SEGA,The Club
22079,Alina Digital,The Cold War Era
22080,Shortbreak Studios s.c.,The Collider
22081,Shortbreak Studios s.c.,The Collider 2
22082,Mode 7,The Colonists
22083,Rusty Swain,The Colony
22084,Devespresso Games,The Coma: Cutting Class
22085,Digerati,The Coma: Recut
22086,2:30 AM Studios,The Commission: Organized Crime Grand Strategy
22087,Joshua Giles,The Communist Dogifesto
22088,"A & B Game Studios, LLC",The Concourse
22089,Hanako Games,The Confines Of The Crown
22090,Cannibal Panda Studios,The Construct
22091,Ben 'Yahtzee' Croshaw,The Consuming Shadow
22092,Crusty Squirrel,The Contact
22093,Play Spirit Limited,The Cooking Game
22094,Play Spirit Limited,The Cooking Game VR
22095,Desktop Daydreams Studios,The Corridor: On Behalf Of The Dead
22096,Focus Home Interactive,The Council
22097,Steel Arts,The Council of Hanwell
22098,Baroque Decay,The Count Lucanor
22099,Dovetail Games - Trains,The Count of Monster Disco
22100,Little Worlds Interactive,The Counting Kingdom
22101,SilentFuture,The Cows Are Watching
22102,Liam Swetnam,The Crane Trials: Red Edition
22103,Gabriel Benson,The Crazy Cookies!
22104,Ubisoft,The Crew
22105,Ubisoft,The Crew 2
22106,AGM PLAYISM,The Crooked Man
22107,Nkidu Games Inc.,The Crow's Eye
22108,crowgames UG (haftungsbeschränkt),The Crowded Party Game Collection
22109,thebrokenhorn,The Crown of Leaves
22110,Choice of Games,The Cryptkeepers of Hallowford
22111,Virtual Rage Studios LLC,The Crypts of Anak Shaba - VR
22112,Tristan Hodges,The Crystal Nebula
22113,Virtual Human Interaction Lab,The Crystal Reef
22114,T34 Studio,The Cube Hotel（Ning's Wing 2）
22115,Pelican Party Studios,The Cubicle.
22116,Xaviant Games,The Culling
22117,Xaviant Games,The Culling 2
22118,DL Softworks,The Culling Of The Cows
22119,IBOLOGY LLC,The Curse Of Yendor
22120,"LucasArts, Lucasfilm, Disney",The Curse of Monkey Island
22121,On The Level Game Studios,The Curse of Nordic Cove
22122,Nordcurrent,The Curse of the Werewolves
22123,The Cursed Revolver,The Cursed Revolver
22124,Mohsin Rizvi,The Cursed Tower
22125,Slingshot Cartel,The DRG Initiative
22126,Outis Media,The Dandelion Girl: Don't You Remember Me?
22127,Choice of Games,The Daring Mermaid Expedition
22128,SEG,The Dark Age I : Zordon's Empire
22129,Daedalic Entertainment,The Dark Eye: Chains of Satinav
22130,Akçay Karaazmak,The Dark Inside Me
22131,Mascot Entertainment,The Dark Legions
22132,RYM GAMES,The Dark Occult
22133,Stirfire Studios,The Dark Room
22134,KISS ltd,The Dark Stone from Mebara
22135,teamsupport,The Darkest Woods
22136,teamsupport,The Darkest Woods 2
22137,Ruaz.404,The Darkness
22138,2K,The Darkness II
22139,"Spooky Doorway, Maple Whispering Limited",The Darkside Detective
22140,bit Gimmicks,The Day I Died
22141,Studio Axiom,The Day They Landed
22142,Carlos,The Dead Cloud Forest
22143,SEGA,The Deadly Tower of Monsters
22144,Aldorlea Games,The Deal
22145,"GrabTheGames, WhisperGames",The Deed
22146,"GrabTheGames, WhisperGames",The Deed: Dynasty
22147,Steve Jarman,The Deep Paths: Labyrinth Of Andokost
22148,Chubby Pixel,The Deer
22149,Crescent Moon Games,The Deer God
22150,FallenMaster,The Defenders: The Second Wave
22151,Russpuppy,The Deletion
22152,FailoutGames,The Departure
22153,Matthew Jennings,The Depths of Tolagal
22154,"Microids Indie, Microids",The Descendant
22155,Eddie O'Hagan (Katianie),The Desert's Rose
22156,Scott Cawthon,The Desolate Hope
22157,Rival Games Ltd,The Detail
22158,"Michael L. Fiorentino Gutierrez, Lorenzo Games",The Devil's Garden
22159,LucasArts,The Dig
22160,Magnolia Art,The Directed
22161,Ska Studios,The Dishwasher: Vampire Smile
22162,Capcom,The Disney Afternoon Collection
22163,DistrictTeam,The District
22164,Sekai Project,The Ditzy Demons Are in Love With Me
22165,Summit Entertainment LLC,The Divergent Series: Allegiant VR
22166,Cape of Games LLC,The Divine Paradox
22167,Forever Entertainment S. A.,The Dolls: Reborn
22168,Route 66 Games,The Dome
22169,广州虚拟动力网络技术有限公司,The Door of Ice 冰封之门
22170,Meepower,The Doorbreaker
22171,CoaguCo Industries,The Dope Game
22172,G. A. Williams,The Dragons' Twilight
22173,River Hastings Carley,The Drain Collector
22174,Pinta Studios,The Dream Collector
22175,The Sleeping Machine,The Dream Machine: Chapter 1 & 2
22176,Two Desperados,The Dreamatorium of Dr. Magnus 2
22177,The Domaginarium,The Dreamlands: Aisling's Quest
22178,New Reality Games,The Dreamlord
22179,The Drone Racing League,The Drone Racing League Simulator
22180,VRS,The Dropping of The Dead
22181,Nekyau,The Duller
22182,Cetus Studios,The Dummy Experiment
22183,Henri Osbourne,The Dungeon Power
22184,LEVER Software,The Dungeon of Destiny
22185,Nick Donnelly,The Dungeoning
22186,Third Impression,The Dungeons of Castle Madness
22187,Alexander Mirdzveli,The Dwarf Run
22188,"THQ Nordic, EuroVideo Medien",The Dwarves
22189,Forever Entertainment S. A.,The Dweller
22190,Choice of Games,The Eagle's Heir
22191,Salt & Pixel,The Earth Dies Screaming
22192,TEN10 Games,The East New World
22193,Frontwing USA,The Eden of Grisaia
22194,UNDER WATER,The Edge Ball
22195,Marshlight Software,The Edgelands
22196,VDimension,The Eerie Inn
22197,VDimension,The Eerie Inn VR
22198,Microids,The Egyptian Prophecy: The Fate of Ramses
22199,Librarium Studios,The Eigengrau Menagerie
22200,Bethesda Softworks,The Elder Scrolls III: Morrowind Game of the Year Edition
22201,Bethesda Softworks,The Elder Scrolls IV: Oblivion Game of the Year Edition
22202,Bethesda Softworks,The Elder Scrolls IV: Oblivion Game of the Year Edition Deluxe
22203,Bethesda Softworks,The Elder Scrolls Online
22204,Bethesda Softworks,The Elder Scrolls V: Skyrim
22205,Bethesda Softworks,The Elder Scrolls V: Skyrim Special Edition
22206,Bethesda Softworks,The Elder Scrolls V: Skyrim VR
22207,Bethesda Softworks,The Elder Scrolls: Legends
22208,TestTubeGames,The Electric Shocktopus
22209,The MegaByte,The Elmian Warrior
22210,The Southern Gaming Syndicate,The Ember Saga: A New Fire
22211,Artifex Mundi,The Emerald Maiden: Symphony of Dreams
22212,Viva Media,The Emptiness Deluxe Edition
22213,Candlelight Studios,The Empty Inn
22214,"Studio Snowspot, T Allen Studios",The Emulator
22215,"dustinaux, Leiting Games",The Enchanted Cave 2
22216,"Edmund McMillen, Tyler Glaiel",The End Is Nigh
22217,xrrawva,"The End o,,,o"
22218,"Mata, Plug In Digital",The End: Inari's Quest
22219,"Erik Sheader-Smith, 1 of 1 Inc.",The Endless Empty
22220,YETU GAME,The Endless Journey
22221,INVIVO Communications,The Enlightened League of Bone Builders and the Osseous Enigma
22222,e-FunSoft Games,The Enthralling Realms
22223,Ragdoll Inc,The Entity
22224,W.T.B.,The Epic Bang Theory
22225,The Escape Team,The Escape
22226,Backstab Games,The Escapist
22227,Team17 Digital Ltd,The Escapists
22228,Team17 Digital Ltd,The Escapists 2
22229,Team17 Digital Ltd,The Escapists: The Walking Dead
22230,Alawar Entertainment,The Esoterica: Hollow Earth
22231,Alawar Entertainment,The Esoterica: Hollow Earth
22232,Legends of Eternalia,The Essence Reaper Ritual
22233,Irvin Vaush,The Evil Party
22234,Bethesda Softworks,The Evil Within
22235,Bethesda Softworks,The Evil Within 2
22236,Fairytale Distillery,The Exiled
22237,Frame Perfect Studios,The Existence Abstract
22238,Zotdinex,The Exorcist
22239,"LegionVR, LLC, Fun Train",The Exorcist: Legion VR - Chapter 1: First Rites
22240,Devolver Digital,The Expendabros
22241,OnSkull Games,The Experiment: Escape Room
22242,ArrowGroundGames,The Extinction
22243,100 Stones Interactive,The Eyes of Ara
22244,"FOO VR, Inc.",The FOO Show featuring Will Smith
22245,PolyDigital,The Facility
22246,Sekai Project,The Falconers: Moonlight
22247,Over The Moon,The Fall
22248,Over The Moon,The Fall Part 2: Unbound
22249,No Wand Studios,The Fall of Lazarus
22250,Mana Games,The Fall of the Dungeon Guardians - Enhanced Edition
22251,"Delusion Arts Entertainment, LLC",The Falling Nights
22252,Plug In Digital,The Fan
22253,"Project ""The Game""",The Far Frontier
22254,HH-Games,The Far Kingdoms: Age of Solitaire
22255,"Beijing Skyline Interaction Technology Co., Ltd.",The Fastest Fist
22256,Softwaves Dist.,The Federal Rescue
22257,BlackMoon Design,The Few
22258,"Act 3 Games, LLC",The Fidelio Incident
22259,Choice of Games,The Fielder's Choice
22260,Ferocious Bunny,The Fiend's Tavern
22261,Touz,The Fifth Day
22262,Snapjaw Games GmbH,The Fifth Expedition
22263,Unimatrix Productions,The Filmmaker - A Text Adventure
22264,Kipsaim (Mike) Delgado,The Final Days: Blood Dawn
22265,Kipsaim(Mike) Delgado,The Final Days: Eternal Night
22266,Kipsaim(Mike) Delgado,The Final Days: I'm Still Alive
22267,Video Game Music Studios,The Final Specimen: Arrival
22268,Steam,The Final Stand
22269,tinyBuild,The Final Station
22270,Forever Entertainment S. A.,The Final Take
