ID,Ime,Drzava,Datum_ustanovitve,Opis
299,Deep Silver Volition,United States,1996,Acquired by Koch Media in 2013 and managed by its Deep Silver division
300,Delphine Software International,France,1988,Defunct in 2004.
301,Delta 4,UK,1984,Defunct in 1992.
302,Demiurge Studios,United States,2002,acquired by Sega in 2015
303,Destination Software,United States,2001,Used the label DSI Games. Acquired by GreenScreen Interactive Software in 2008.
304,Destineer,United States,2000,"Also a video game developer. Publishes under the Bold Games, MacSoft, and Atomic Games labels."
305,Developer House (Developer House Technology PVT LTD)[13],India,2015,
306,Devolver Digital,United States,2008,
307,Dhruva Interactive,India,1997,Acquired by Starbreeze Studios in 2016 and then they were acquired by Rockstar Games and were merged into Rockstar India in 2019
308,Die Gute Fabrik,Denmark,2006,
309,Digital Eclipse,United States,1992,Division of Other Ocean Group[14]
310,Digital Extremes,Canada,1993,"Subsidiary of Leyou; Founded by James Schmalz, co-creator of Unreal series."
311,Digital Fantasia,UK,1982,Ceased publishing in 1983; defunct in 1991.
312,Digital Integration,UK,1982,Acquired by Titus Interactive in 1998; defunct in 2005.
313,Digital Jesters,UK,2003,Defunct in 2006.
314,Digital Leisure,Canada,1997,
315,Digital Pictures,United States,1991,Defunct in 1996.
316,Digital Reality,Hungary,1991,Defunct in 2013; their assets were acquired by Nordic Games[15]
317,Digitalmindsoft,Germany,2006,
318,Dimps,Japan,2000,
319,Dinamic Multimedia,Spain,1993,Defunct in 2001.
320,Dinamic Software,Spain,1983,Also a video game developer. Defunct in 1992.
321,Disney Interactive Studios,United States,1988,Publisher and subsidiary of The Walt Disney Company; closed in 2016
322,Domark,UK,1984,"Merged with Big Red Software, Simis, and Eidos Technologies to form Eidos Interactive in 1996."
323,Dontnod Entertainment,France,2008,
324,DotEmu,France,2007,
325,Double Fine,US,2000,Acquired by Microsoft in 2019
326,Double Fine Productions,United States,2000,Founded by former employees of LucasArts; acquired by Microsoft in 2019
327,Dovetail Games,United Kingdom,2008,
328,Dragon Data,UK,1980,Division of Mettoy. Defunct in 1984.
329,DreamCatcher Games,Canada,1996,Acquired by JoWooD Productions. Folded into Nordic Games in 2011.
330,DreamWorks Interactive,United States,1995,Joint venture between DreamWorks and Microsoft. Acquired by Electronic Arts in 2000.
331,Dtp entertainment,Germany,1995,
332,Durell Software,UK,1983,Exited the video game industry in 1987.
333,Dynamic Planning,Japan,1974,Also known as Dynamic Kikaku. No longer publishes video games.
334,Dynamix,United States,1984,Closed in 2001
335,EA Black Box,Canada,1998,Subsidiary of Electronic Arts; closed in 2013
336,EA Digital Illusions CE (EA DICE),Sweden,1992,Acquired by Electronic Arts in 2004
337,EA Gothenburg,Sweden,2011,Subsidiary of Electronic Arts
338,EA Vancouver (formerly Distinctive Software),Canada,1982,Acquired by Electronic Arts in 1991
339,ELF Corporation,Japan,1989,Defunct in 2015.
340,ERE Informatique,France,1981,Acquired by Infogrames in 1987.
341,ESA (formerly Softmax),South Korea,1994,ESA left from game business. The former employees formed Studio 4Leaf and the studio was acquired by NextFloor [ko].[16]
342,EasyGameStation,Japan,2001,
343,Eat Sleep Play,United States,2007,Defunct in 2017
344,Ecole Software,Japan,1989,No longer publishes video games.
345,Eden Games,France,1998,Former subsidiary of Atari SA
346,Edge Games,United States,1990,
347,Edu-Ware,United States,1979,Defunct in 1985.
348,Egosoft,Germany,1988,
